"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Shipping City","hs_shipping_address_city","string","The city for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Shipping Country","hs_shipping_address_country","string","The country for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Shipping Address Customer Name","hs_shipping_address_name","string","Customer's full name from shipping information","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Shipping Phone Number","hs_shipping_address_phone","string","The phone number for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Shipping ZIP/Postal Code","hs_shipping_address_postal_code","string","The ZIP/postal code for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Shipping State","hs_shipping_address_state","string","The state for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Shipping Street","hs_shipping_address_street","string","The street for the shipping address.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Shipping Status URL","hs_shipping_status_url","string","URL to Shipping status for the order.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Shipping Tracking Number","hs_shipping_tracking_number","string","List of Shipment tracking IDs associated with the order.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Source Store","hs_source_store","string","Data used to identify which store the order came from.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Tags","hs_tags","string","A collection of tag strings associated with the order.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Total Weight","hs_total_weight","string","The total weight of the order for shipping purposes.","order_information","false","","false","true","false","false","false","true","HubSpot",""
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","order_information","false","","true","true","false","false","false","true","HubSpot",""
"Owner Assigned Date","hubspot_owner_assigneddate","datetime","The most recent date an owner was assigned to this object. This is set automatically by HubSpot and can be used for segmentation and reporting.","order_information","false","","true","true","false","false","false","true","HubSpot",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","order_information","false","","false","true","false","true","false","true","HubSpot",""
"HubSpot Team","hubspot_team_id","enumeration","The primary team of the owner.","order_information","false","","true","true","false","true","false","true","HubSpot",""
"Discount Codes","hs_discount_codes","string","Discount Codes on an order.","order_revenue","false","","false","true","false","false","false","true","HubSpot",""
"Amount in company currency","hs_homecurrency_amount","number","The amount of the order, using the exchange rate, in your company's currency","order_revenue","false","","false","true","true","false","false","true","HubSpot",""
"Discount","hs_order_discount","number","Total Discount on an order as an amount.","order_revenue","false","","false","true","false","false","false","true","HubSpot",""
"Refund Amount","hs_refund_amount","number","Refunded amount, if any, associated with an order.","order_revenue","false","","false","true","false","false","false","true","HubSpot",""
"Shipping Cost","hs_shipping_cost","number","The base cost (i.e. undiscounted), in the orders associated currency, associated with shipping the order.","order_revenue","false","","false","true","false","false","false","true","HubSpot",""
"Subtotal Price","hs_subtotal_price","number","Total order amount before discounts, tax, duties etc. ","order_revenue","false","","false","true","false","false","false","true","HubSpot",""
"Tax Price","hs_tax","number","Tax amount associated with the order, including duties.","order_revenue","false","","false","true","false","false","false","true","HubSpot",""
"Total Price","hs_total_price","number","Sum Total amount associated with this order. ","order_revenue","false","","false","true","false","false","false","true","HubSpot",""
