"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Plan Type","plan_type","enumeration","","plans_information","false","[{""label"":""Accounts"",""value"":""Accounts"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""Bill Pay"",""value"":""Bill Pay"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""Bookkeeping"",""value"":""Bookkeeping"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""Cards"",""value"":""Cards"",""displayOrder"":4,""hidden"":false,""readOnly"":false},{""label"":""Catchup Bookkeeping"",""value"":""Catchup Bookkeeping"",""displayOrder"":5,""hidden"":false,""readOnly"":false},{""label"":""CFO"",""value"":""CFO"",""displayOrder"":6,""hidden"":false,""readOnly"":false},{""label"":""Enterprise"",""value"":""Enterprise"",""displayOrder"":7,""hidden"":false,""readOnly"":false},{""label"":""Full Service"",""value"":""Full Service"",""displayOrder"":8,""hidden"":false,""readOnly"":false},{""label"":""Growth"",""value"":""Growth"",""displayOrder"":9,""hidden"":false,""readOnly"":false},{""label"":""Payroll Manager"",""value"":""Payroll Manager"",""displayOrder"":10,""hidden"":false,""readOnly"":false},{""label"":""Professional"",""value"":""Professional"",""displayOrder"":11,""hidden"":false,""readOnly"":false},{""label"":""Reimbursements"",""value"":""Reimbursements"",""displayOrder"":12,""hidden"":false,""readOnly"":false},{""label"":""Starter"",""value"":""Starter"",""displayOrder"":13,""hidden"":false,""readOnly"":false},{""label"":""Tax"",""value"":""Tax"",""displayOrder"":14,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Inbounddb lists (3); Automation platform flow (8); Object requirement (1); Report (12); Sales view (4); Association table card (1); Properties v3 card (1)"
"Plan Unit Price Data","plan_unit_price","number","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Pipeline board view (1)"
"Plan Unit Price","plan_unit_price_currency","number","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Object requirement (1); Sales view (2)"
"Plan started at","started_at","date","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Properties v3 card (1)"
"Status","status","enumeration","","plans_information","false","[{""label"":""🟢 Active"",""value"":""active"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""🔴 Cancelled"",""value"":""cancelled"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""🟠 Paused"",""value"":""paused"",""displayOrder"":2,""hidden"":false,""readOnly"":false},{""label"":""⚫️ Non-Renewing"",""value"":""non_renewing"",""displayOrder"":3,""hidden"":false,""readOnly"":false},{""label"":""🟣 Future"",""value"":""future"",""displayOrder"":4,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Rollup property (1); Inbounddb lists (31); Automation platform flow (10); Object requirement (1); Report (11); Association card (1); Sales view (4); Association table card (1); Association v3 card (1)"
"Subscription ID","subscription_id","string","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Object requirement (1); Report (4); Sales view (4)"
"Test ZENI ACCOUNTS - (only for RevOps)","test_zeni_accounts____only_for_revops_","enumeration","Used for testing ","plans_information","true","[{""label"":""🟩 Activated"",""value"":""🟩 Activated"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""🟨 Activation pending"",""value"":""🟨 Activation pending"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""🟥 Not Activated"",""value"":""🟥 Not Activated"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Lovesh Sharma","Automation platform flow (1)"
"Test ZENI BILL PAY- (only for RevOps)","test_zeni_bill_pay___only_for_revops_","enumeration","Used for testing ","plans_information","true","[{""label"":""🟩 Activated"",""value"":""🟩 Activated"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""🟨 Activation pending"",""value"":""🟨 Activation pending"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""🟥 Not Activated"",""value"":""🟥 Not Activated"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Lovesh Sharma","Automation platform flow (1)"
"Test ZENI REIMBURSEMENTS - (only for RevOps) ","test_zeni_reimbursements____only_for_revops_","enumeration","Used for testing ","plans_information","true","[{""label"":""🟩 Activated"",""value"":""🟩 Activated"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""🟨 Activation pending"",""value"":""🟨 Activation pending"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""🟥 Not Activated"",""value"":""🟥 Not Activated"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Lovesh Sharma","Automation platform flow (1); Report (1)"
"Plan updated at","updated_at","date","","plans_information","false","","false","false","false","false","false","false","Brandon Dith-Berry","Sales view (3); Association table card (1); Properties v3 card (1)"
