"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Call and meeting type","hs_activity_type","enumeration","The activity type of the engagement","callinformation","false","[{""label"":""Controller"",""value"":""Controller"",""displayOrder"":0},{""label"":""Customer Cross-Sell"",""value"":""Customer Cross-Sell"",""displayOrder"":1},{""label"":""Customer Success: QBR"",""value"":""Customer Success: QBR"",""displayOrder"":2},{""label"":""Customer Success: Renewal"",""value"":""Customer Success: Renewal"",""displayOrder"":3},{""label"":""Customer Upsell (CFO)"",""value"":""Customer Upsell (CFO)"",""displayOrder"":4},{""label"":""Follow Up Discussion - Negotiation"",""value"":""Follow Up Discussion - Negotiation"",""displayOrder"":5},{""label"":""Follow Up Discussion - With Support"",""value"":""Follow Up Discussion - With Support"",""displayOrder"":6},{""label"":""Inbound Follow Up"",""value"":""Inbound Follow Up"",""displayOrder"":7},{""label"":""Inbound Product Tour"",""value"":""Inbound Product Tour"",""displayOrder"":8},{""label"":""Internal"",""value"":""Internal"",""displayOrder"":9},{""label"":""Internal - Interview"",""value"":""Internal - Interview"",""displayOrder"":10},{""label"":""Internal - Training"",""value"":""Internal - Training"",""displayOrder"":11},{""label"":""Partner: Consultation"",""value"":""Partner: Consultation"",""displayOrder"":12},{""label"":""Partner: Inbound Consultation"",""value"":""Partner: Inbound Consultation"",""displayOrder"":13},{""label"":""Quota relief"",""value"":""Quota relief"",""displayOrder"":14},{""label"":""Sales Scoping: AE Only"",""value"":""Sales Scoping: AE Only"",""displayOrder"":15},{""label"":""Sales Scoping: Engineer Involved"",""value"":""Sales Scoping: Engineer Involved"",""displayOrder"":16},{""label"":""Sales to Service Handoff"",""value"":""Sales to Service Handoff"",""displayOrder"":17},{""label"":""Zeni - Customer Dashboard Training"",""value"":""Zeni - Customer Dashboard Training"",""displayOrder"":18},{""label"":""Zeni - Customer Kickoff"",""value"":""Zeni - Customer Kickoff"",""displayOrder"":19},{""label"":""Zeni - Customer Onboarding"",""value"":""Zeni - Customer Onboarding"",""displayOrder"":20},{""label"":""Zeni Overview - Accounts"",""value"":""Zeni Overview - Accounts"",""displayOrder"":21},{""label"":""Zeni Overview - Bill Pay"",""value"":""Zeni Overview - Bill Pay"",""displayOrder"":22},{""label"":""Zeni Overview - Customer Referral"",""value"":""Zeni Overview - Customer Referral"",""displayOrder"":23},{""label"":""Zeni Overview - Employee Referral"",""value"":""Zeni Overview - Employee Referral"",""displayOrder"":24},{""label"":""Zeni Overview - Events"",""value"":""Zeni Overview - Events"",""displayOrder"":25},{""label"":""Zeni Overview - Events AE"",""value"":""Zeni Overview - Events AE"",""displayOrder"":26},{""label"":""Zeni Overview - Events BDR"",""value"":""Zeni Overview - Events BDR"",""displayOrder"":27},{""label"":""Zeni Overview - Events Partnerships"",""value"":""Zeni Overview - Events Partnerships"",""displayOrder"":28},{""label"":""Zeni Overview - Inbound"",""value"":""Zeni Overview - Inbound"",""displayOrder"":29},{""label"":""Zeni Overview - Inbound Partnerships"",""value"":""Zeni Overview - Inbound Partnerships"",""displayOrder"":30},{""label"":""Zeni Overview - Inbound VC Referral"",""value"":""Zeni Overview - Inbound VC Referral"",""displayOrder"":31},{""label"":""Zeni Overview - Outbound AE"",""value"":""Zeni Overview - Outbound AE"",""displayOrder"":32},{""label"":""Zeni Overview - Outbound BDR"",""value"":""Zeni Overview - Outbound BDR"",""displayOrder"":33},{""label"":""Zeni Overview - Partnerships"",""value"":""Zeni Overview - Partnerships"",""displayOrder"":34},{""label"":""Zeni Overview - Reimbursements"",""value"":""Zeni Overview - Reimbursements"",""displayOrder"":35},{""label"":""Zeni Overview - VC Referral"",""value"":""Zeni Overview - VC Referral"",""displayOrder"":36},{""label"":""Zeni Overview - Venture Capitalist"",""value"":""Zeni Overview - Venture Capitalist"",""displayOrder"":37}]","false","true","false","false","false","true","HubSpot",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","callinformation","false","","true","true","false","false","false","true","HubSpot",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","callinformation","false","","true","true","false","true","false","true","HubSpot",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is automatically set by HubSpot and may not be modified.","callinformation","false","","true","true","false","false","false","true","HubSpot","Rollup property (9); Report (1)"
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","callinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","callinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","callinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","callinformation","false","","true","true","false","true","false","true","HubSpot",""
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","callinformation","false","","true","true","false","false","false","true","HubSpot",""
"Attached file IDs","hs_attachment_ids","enumeration","The IDs of the files that are attached to the engagement","engagement","false","","false","true","false","false","false","true","HubSpot",""
"Activity created by","hs_created_by","number","The user who created the engagement","engagement","false","","true","true","false","true","false","true","HubSpot","Report (1)"
"Create date","hs_createdate","datetime","The date that an engagement was created","engagement","false","","true","true","false","false","false","true","HubSpot","Report (1); Sales view (2)"
"Last modified date","hs_lastmodifieddate","datetime","The date any property on this engagement was modified","engagement","false","","true","true","false","false","false","true","HubSpot",""
"Activity date","hs_timestamp","datetime","The date that an engagement occurred","engagement","false","","false","true","false","false","false","true","HubSpot","Report (17); Dataset (1); Sales view (2)"
"Activity assigned to","hubspot_owner_id","enumeration","The user that the activity is assigned to in HubSpot. This can be any HubSpot user or Salesforce integration user, and can be set manually or via Workflows.","engagement","false","","false","true","false","true","false","true","HubSpot","Report (6); Dataset (1); Sales view (2)"
"HubSpot Team","hubspot_team_id","enumeration","The team of the owner of an engagement.","engagement","false","","true","true","false","true","false","true","HubSpot","Report (10); Dataset (1)"
