"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"First Name","hs_given_name","string","The user's first or given name.","user_information","false","","true","true","false","false","false","true","HubSpot",""
"Internal User ID","hs_internal_user_id","number","The user's unique internal ID in HubSpot's centralized database. This is not portal-specific.","user_information","false","","true","true","false","false","false","true","HubSpot",""
"Invite Accepted Time","hs_invite_accepted_time","datetime","The time the user accepted their invite to the portal.","user_information","false","","true","true","false","false","false","true","HubSpot",""
"Partner","hs_is_partner_user","bool","Property to say if a user is working on that hub on behalf of a Solutions Partner or a Solutions Provider","user_information","false","[{""label"":""True"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":true},{""label"":""False"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":true}]","true","true","false","false","false","true","HubSpot",""
"Job Title","hs_job_title","string","Displays the user's job title.","user_information","false","","false","true","false","false","false","true","HubSpot",""
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","user_information","false","","true","true","false","false","false","true","HubSpot",""
"Main Phone","hs_main_phone","phone_number","The user's main phone number","user_information","false","","true","true","false","false","false","true","HubSpot",""
"Manager","hs_manager","enumeration","The user's manager. Can be any non-deactivated or non-partner user in the account","user_information","false","","false","true","false","true","false","true","HubSpot",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is automatically set by HubSpot and may not be modified.","user_information","false","","true","true","false","true","false","true","HubSpot",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is automatically set by HubSpot and may not be modified.","user_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","user_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","user_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","user_information","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","user_information","false","","true","true","false","true","false","true","HubSpot",""
