"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Subscription activated at","cb_subcst_activated_at","datetime","Subscription activated at","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription affiliate token","cb_subcst_affiliate_token","string","Subscription affiliate token","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription base currency code","cb_subcst_base_currency_code","string","Subscription base currency code","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription billing period","cb_subcst_billing_period","number","Subscription billing period","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription billing period unit","cb_subcst_billing_period_unit","string","Subscription billing period unit","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription cancel reason","cb_subcst_cancel_reason","string","Subscription cancel reason","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription cancelled at","cb_subcst_cancelled_at","datetime","Subscription cancelled at","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription created at","cb_subcst_created_at","datetime","Subscription created at","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription created from ip","cb_subcst_created_from_ip","string","Subscription created from ip","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription currency code","cb_subcst_currency_code","string","Subscription currency code","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription current term end","cb_subcst_current_term_end","datetime","Subscription current term end","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription current term start","cb_subcst_current_term_start","datetime","Subscription current term start","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription exchange rate","cb_subcst_exchange_rate","number","Subscription exchange rate","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription gift id","cb_subcst_gift_id","string","Subscription gift id","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription has scheduled changes","cb_subcst_has_scheduled_changes","string","Subscription has scheduled changes","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
"Subscription override relationship","cb_subcst_override_relationship","string","Subscription override relationship","chargebeecustomproperties","true","","false","false","false","false","false","false","Swapnil Shinde",""
